Epoch 275, Loss G: -2.5997,Loss D: -0.0597
Epoch 276, Loss G: -2.5257,Loss D:  0.2611
Epoch 277, Loss G: -2.5731,Loss D: -0.0852
Epoch 278, Loss G: -2.5772,Loss D: -0.0249
Epoch 279, Loss G: -2.4477,Loss D: -0.1461
Epoch 280, Loss G: -2.4320,Loss D: -0.0800
Epoch 281, Loss G: -2.5880,Loss D: -0.2461
Epoch 282, Loss G: -2.7787,Loss D: -0.3345
Epoch 283, Loss G: -2.6784,Loss D: -0.1122
Epoch 284, Loss G: -2.7092,Loss D:  0.0459
Epoch 285, Loss G: -2.5366,Loss D: -0.1840
Epoch 286, Loss G: -2.4284,Loss D:  0.2526
Epoch 287, Loss G: -2.7497,Loss D: -0.1109
Epoch 288, Loss G: -2.7025,Loss D:  0.1731
Epoch 289, Loss G: -2.3120,Loss D:  0.2772
Epoch 290, Loss G: -2.5194,Loss D:  0.3761
Epoch 291, Loss G: -2.5351,Loss D:  0.3405
Epoch 292, Loss G: -2.5674,Loss D:  0.6118
Epoch 293, Loss G: -2.4471,Loss D:  0.2369
Epoch 294, Loss G: -2.5297,Loss D:  0.4146
Epoch 295, Loss G: -2.5125,Loss D:  0.0475
Epoch 296, Loss G: -2.4455,Loss D:  0.0968
Epoch 297, Loss G: -2.5574,Loss D:  0.0643
Epoch 298, Loss G: -2.4243,Loss D:  0.0806
Epoch 299, Loss G: -2.2937,Loss D:  0.1472
Epoch 300, Loss G: -2.3369,Loss D: -0.0912
Epoch 301, Loss G: -2.1010,Loss D: -0.0295
Epoch 302, Loss G: -2.0491,Loss D:  0.2156
Epoch 303, Loss G: -1.8469,Loss D:  0.1090
Epoch 304, Loss G: -1.9229,Loss D:  0.0036
Epoch 305, Loss G: -1.6187,Loss D:  0.0732
Epoch 306, Loss G: -1.4474,Loss D: -0.1983
Epoch 307, Loss G: -1.5687,Loss D: -0.3304
Epoch 308, Loss G: -1.5271,Loss D: -0.0091
Epoch 309, Loss G: -1.5040,Loss D:  0.1322
Epoch 310, Loss G: -1.7339,Loss D:  0.1838
Epoch 311, Loss G: -1.6082,Loss D:  0.3757
Epoch 312, Loss G: -1.6566,Loss D: -0.0106
Epoch 313, Loss G: -1.7309,Loss D:  0.1385
Epoch 314, Loss G: -1.8014,Loss D: -0.2462
Epoch 315, Loss G: -1.8494,Loss D:  0.4417
Epoch 316, Loss G: -1.9643,Loss D:  0.0196
Epoch 317, Loss G: -2.5118,Loss D:  0.4288
Epoch 318, Loss G: -2.1696,Loss D:  0.1503
Epoch 319, Loss G: -2.3616,Loss D:  0.2224
Epoch 320, Loss G: -2.5919,Loss D:  0.0874
Epoch 321, Loss G: -2.5140,Loss D:  0.2218
Epoch 322, Loss G: -2.2868,Loss D: -0.1225
Epoch 323, Loss G: -2.5161,Loss D: -0.1083
Epoch 324, Loss G: -2.6506,Loss D: -0.0599
Epoch 325, Loss G: -2.4065,Loss D: -0.1017
Epoch 326, Loss G: -2.5921,Loss D: -0.1674
Epoch 327, Loss G: -2.7221,Loss D: -0.0098
Epoch 328, Loss G: -2.6317,Loss D: -0.6042
Epoch 329, Loss G: -2.7825,Loss D: -0.5098
Epoch 330, Loss G: -2.8710,Loss D: -0.0858
Epoch 331, Loss G: -2.9225,Loss D: -0.1891
Epoch 332, Loss G: -2.9817,Loss D: -0.4031
Epoch 333, Loss G: -3.1968,Loss D:  0.1873
Epoch 334, Loss G: -2.8825,Loss D:  0.1949
Epoch 335, Loss G: -3.2040,Loss D:  0.2521
Epoch 336, Loss G: -3.1669,Loss D:  0.2781
Epoch 337, Loss G: -3.2612,Loss D:  0.3260
Epoch 338, Loss G: -3.4677,Loss D:  0.1232
Epoch 339, Loss G: -3.0887,Loss D: -0.0321
Epoch 340, Loss G: -3.3071,Loss D: -0.0500
Epoch 341, Loss G: -3.2955,Loss D: -0.1254
Epoch 342, Loss G: -3.1870,Loss D:  0.0806
Epoch 343, Loss G: -3.1476,Loss D: -0.0782
Epoch 344, Loss G: -2.9659,Loss D: -0.1058
Epoch 345, Loss G: -2.6190,Loss D: -0.0549
Epoch 346, Loss G: -2.6755,Loss D:  0.2482
Epoch 347, Loss G: -2.8527,Loss D: -0.0951
Epoch 348, Loss G: -2.8043,Loss D: -0.0810
Epoch 349, Loss G: -2.8937,Loss D:  0.2634
Epoch 350, Loss G: -2.6940,Loss D: -0.1697
Epoch 351, Loss G: -2.9609,Loss D:  0.1788
Epoch 352, Loss G: -2.6541,Loss D: -0.2010
Epoch 353, Loss G: -2.7379,Loss D:  0.0435
Epoch 354, Loss G: -2.7906,Loss D: -0.0331
Epoch 355, Loss G: -2.6077,Loss D:  0.0706
Epoch 356, Loss G: -2.4006,Loss D: -0.3385
Epoch 357, Loss G: -2.3889,Loss D: -0.3909
Epoch 358, Loss G: -2.1736,Loss D: -0.1723
Epoch 359, Loss G: -2.0163,Loss D: -0.1027
