Epoch 348, Loss G: -3.2285,Loss D: -0.0842
Epoch 349, Loss G: -2.9562,Loss D:  0.3142
Epoch 350, Loss G: -2.8312,Loss D: -0.3834
Epoch 351, Loss G: -2.6824,Loss D:  0.1152
Epoch 352, Loss G: -2.6984,Loss D:  0.1152
Epoch 353, Loss G: -2.8875,Loss D:  0.4878
Epoch 354, Loss G: -3.4492,Loss D:  0.1874
Epoch 355, Loss G: -3.2005,Loss D:  0.6195
Epoch 356, Loss G: -3.1750,Loss D:  0.3388
Epoch 357, Loss G: -3.2283,Loss D: -0.2910
Epoch 358, Loss G: -3.6665,Loss D:  0.0416
Epoch 359, Loss G: -3.4946,Loss D: -0.2723
Epoch 360, Loss G: -3.3852,Loss D: -0.5285
Epoch 361, Loss G: -3.8338,Loss D: -0.1091
Epoch 362, Loss G: -3.7630,Loss D: -0.4048
Epoch 363, Loss G: -4.0800,Loss D: -0.8277
Epoch 364, Loss G: -3.8957,Loss D: -0.2005
Epoch 365, Loss G: -4.0314,Loss D: -0.3213
Epoch 366, Loss G: -4.0364,Loss D: -0.4904
Epoch 367, Loss G: -4.5157,Loss D:  0.2446
Epoch 368, Loss G: -4.5447,Loss D:  0.2504
Epoch 369, Loss G: -4.5807,Loss D:  0.4371
Epoch 370, Loss G: -4.9031,Loss D:  0.2828
Epoch 371, Loss G: -5.0361,Loss D:  0.2002
Epoch 372, Loss G: -5.1490,Loss D: -0.1872
Epoch 373, Loss G: -5.3194,Loss D:  0.8706
Epoch 374, Loss G: -5.7150,Loss D:  0.5642
Epoch 375, Loss G: -5.0581,Loss D:  0.0859
Epoch 376, Loss G: -5.5076,Loss D: -0.2216
Epoch 377, Loss G: -5.0899,Loss D: -0.1561
Epoch 378, Loss G: -5.1905,Loss D: -0.3802
Epoch 379, Loss G: -4.4384,Loss D: -0.4138
Epoch 380, Loss G: -3.8877,Loss D: -0.1860
Epoch 381, Loss G: -3.8080,Loss D: -0.3849
Epoch 382, Loss G: -3.3432,Loss D: -0.6701
Epoch 383, Loss G: -3.2021,Loss D: -1.0186
Epoch 384, Loss G: -3.4327,Loss D: -0.4824
Epoch 385, Loss G: -2.9009,Loss D: -0.5987
Epoch 386, Loss G: -3.6132,Loss D: -0.3312
Epoch 387, Loss G: -3.8100,Loss D: -0.1690
Epoch 388, Loss G: -3.2000,Loss D:  0.0864
Epoch 389, Loss G: -3.3420,Loss D: -0.4047
Epoch 390, Loss G: -3.1694,Loss D: -0.0157
Epoch 391, Loss G: -3.4848,Loss D: -0.2137
Epoch 392, Loss G: -3.4333,Loss D: -0.1100
Epoch 393, Loss G: -3.7119,Loss D: -0.0900
Epoch 394, Loss G: -3.4389,Loss D:  0.1366
Epoch 395, Loss G: -3.3849,Loss D: -0.3747
Epoch 396, Loss G: -3.5796,Loss D:  0.3446
Epoch 397, Loss G: -3.9125,Loss D: -0.5096
Epoch 398, Loss G: -3.6724,Loss D:  0.0050
Epoch 399, Loss G: -3.2815,Loss D:  0.0239
Epoch 400, Loss G: -3.6927,Loss D: -0.4469
Epoch 401, Loss G: -4.0788,Loss D:  0.1335
Epoch 402, Loss G: -3.7689,Loss D:  0.3369
Epoch 403, Loss G: -3.9559,Loss D: -0.1899
Epoch 404, Loss G: -4.5507,Loss D: -0.2116
Epoch 405, Loss G: -4.3564,Loss D:  0.5097
Epoch 406, Loss G: -4.2322,Loss D: -0.0866
Epoch 407, Loss G: -4.5512,Loss D: -0.4116
Epoch 408, Loss G: -4.1144,Loss D: -0.5208
Epoch 409, Loss G: -4.4067,Loss D: -0.0758
Epoch 410, Loss G: -3.9720,Loss D: -0.3772
Epoch 411, Loss G: -3.9343,Loss D: -0.0481
Epoch 412, Loss G: -4.5572,Loss D:  0.1058
Epoch 413, Loss G: -4.4707,Loss D:  0.0920
Epoch 414, Loss G: -4.4299,Loss D: -0.2265
Epoch 415, Loss G: -4.6832,Loss D:  0.3008
Epoch 416, Loss G: -4.5491,Loss D:  0.0334
Epoch 417, Loss G: -4.3210,Loss D:  0.5241
Epoch 418, Loss G: -4.1619,Loss D: -0.0129
Epoch 419, Loss G: -4.3943,Loss D: -0.8741
Epoch 420, Loss G: -3.6348,Loss D: -0.4597
