Epoch 270, Loss G: -4.1138,Loss D:  0.1782
Epoch 271, Loss G: -3.9539,Loss D:  0.0034
Epoch 272, Loss G: -4.1210,Loss D:  0.0145
Epoch 273, Loss G: -4.2083,Loss D:  0.2254
Epoch 274, Loss G: -4.1256,Loss D:  0.5795
Epoch 275, Loss G: -4.1365,Loss D:  0.4710
Epoch 276, Loss G: -4.0820,Loss D: -0.0035
Epoch 277, Loss G: -3.9950,Loss D:  0.5020
Epoch 278, Loss G: -4.0099,Loss D:  0.0826
Epoch 279, Loss G: -4.1342,Loss D:  0.0414
Epoch 280, Loss G: -3.9421,Loss D: -0.0037
Epoch 281, Loss G: -3.8353,Loss D:  0.0736
Epoch 282, Loss G: -3.7645,Loss D: -0.0946
Epoch 283, Loss G: -3.9696,Loss D:  0.0609
Epoch 284, Loss G: -4.0916,Loss D:  0.1691
Epoch 285, Loss G: -3.9379,Loss D:  0.6740
Epoch 286, Loss G: -3.9372,Loss D:  0.0602
Epoch 287, Loss G: -4.1260,Loss D:  0.2205
Epoch 288, Loss G: -4.7844,Loss D:  0.0472
Epoch 289, Loss G: -4.5016,Loss D:  0.3291
Epoch 290, Loss G: -4.2624,Loss D: -0.0077
Epoch 291, Loss G: -4.4729,Loss D:  0.4900
Epoch 292, Loss G: -4.4888,Loss D: -0.2427
Epoch 293, Loss G: -4.1900,Loss D:  0.0899
Epoch 294, Loss G: -4.3817,Loss D: -0.1423
Epoch 295, Loss G: -4.3949,Loss D:  0.2103
Epoch 296, Loss G: -4.1114,Loss D: -0.2819
Epoch 297, Loss G: -3.8054,Loss D: -0.0932
Epoch 298, Loss G: -3.9413,Loss D: -0.0477
Epoch 299, Loss G: -3.6874,Loss D: -0.0594
Epoch 300, Loss G: -3.7944,Loss D:  0.4016
Epoch 301, Loss G: -3.8188,Loss D: -0.0476
Epoch 302, Loss G: -3.7586,Loss D:  0.2969
Epoch 303, Loss G: -3.7272,Loss D:  0.2522
Epoch 304, Loss G: -4.0611,Loss D: -0.0792
Epoch 305, Loss G: -3.8400,Loss D:  0.0633
Epoch 306, Loss G: -3.6428,Loss D:  0.2892
Epoch 307, Loss G: -3.4048,Loss D:  0.3838
Epoch 308, Loss G: -3.7703,Loss D:  0.3208
Epoch 309, Loss G: -4.1818,Loss D:  0.2633
Epoch 310, Loss G: -4.0802,Loss D:  0.4119
Epoch 311, Loss G: -3.7363,Loss D: -0.0150
Epoch 312, Loss G: -4.1376,Loss D:  0.1607
Epoch 313, Loss G: -3.9481,Loss D:  0.0995
Epoch 314, Loss G: -4.1512,Loss D:  0.0107
Epoch 315, Loss G: -4.1447,Loss D:  0.0344
Epoch 316, Loss G: -3.9500,Loss D:  0.1956
Epoch 317, Loss G: -3.8372,Loss D: -0.3418
Epoch 318, Loss G: -4.0078,Loss D: -0.0593
Epoch 319, Loss G: -3.8443,Loss D: -0.1801
Epoch 320, Loss G: -3.6173,Loss D: -0.1588
Epoch 321, Loss G: -3.5219,Loss D: -0.4569
Epoch 322, Loss G: -3.6347,Loss D: -0.4119
Epoch 323, Loss G: -3.3231,Loss D: -0.1946
Epoch 324, Loss G: -3.4137,Loss D: -0.1904
Epoch 325, Loss G: -3.1736,Loss D: -0.5445
Epoch 326, Loss G: -3.1296,Loss D: -0.1386
Epoch 327, Loss G: -3.0100,Loss D: -0.4853
Epoch 328, Loss G: -3.0372,Loss D: -0.4285
Epoch 329, Loss G: -3.1360,Loss D: -0.0875
Epoch 330, Loss G: -3.0577,Loss D: -0.4054
Epoch 331, Loss G: -3.0552,Loss D:  0.2860
Epoch 332, Loss G: -3.4686,Loss D:  0.3762
Epoch 333, Loss G: -3.3859,Loss D:  0.1816
